drive,condition,replicate,window_index,disturbance_start_index,disturbance_stop_index_exclusive,persistence_score,forward_mae_m,yaw_mae_rad,mean_future_blur_sigma,clean_persistence_score,persistence_score_excess_over_clean,clean_forward_mae_m,clean_yaw_mae_rad,forward_mae_degradation_m,yaw_mae_degradation_rad
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,1,0,0,8,-0.19068235345184803,0.15880658105015755,0.020770486211404204,1.5,-0.13850022293627262,-0.05218213051557541,0.17922906205058098,0.020257344003766775,-0.02042248100042343,0.0005131422076374292
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,1,1,8,16,-0.14921274781227112,0.17877616733312607,0.021377238910645247,1.5,-0.11989801283925772,-0.0293147349730134,0.18278007954359055,0.02471963409334421,-0.0040039122104644775,-0.003342395182698965
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,1,2,16,24,-0.19995009433478117,0.17896807938814163,0.015605723776388913,1.875,-0.170837190002203,-0.029112904332578182,0.16541700810194016,0.02547515695914626,0.013551071286201477,-0.009869433182757348
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,1,3,24,32,-0.1675134594552219,0.16602104529738426,0.003134426078759134,2.25,-0.17478450015187263,0.0072710406966507435,0.1292802132666111,0.01825385307893157,0.03674083203077316,-0.015119427000172436
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,1,4,32,40,-0.1518351174890995,0.1468750387430191,0.011628616135567427,2.25,-0.1690838821232319,0.017248764634132385,0.14052680879831314,0.004918642807751894,0.006348229944705963,0.006709973327815533
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,1,5,40,48,-0.15901122335344553,0.14676547423005104,0.018668102333322167,3.0,-0.0985110211186111,-0.06050020223483443,0.181673776358366,0.0033321091905236244,-0.03490830212831497,0.015335993142798543
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,1,6,48,56,-0.10973487189039588,0.12419984117150307,0.022901690797880292,3.0,-0.032826286857016385,-0.0769085850333795,0.1641913540661335,0.008697280660271645,-0.03999151289463043,0.014204410137608647
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,1,7,56,64,-0.16197941079735756,0.09072330966591835,0.02553447289392352,1.875,-0.08953315985854715,-0.07244625093881041,0.09383781626820564,0.018893282511271536,-0.0031145066022872925,0.006641190382651985
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,1,8,64,72,-0.13141670497134328,0.033815570175647736,0.026580541860312223,0.75,-0.10838320106267929,-0.023033503908663988,0.05127889662981033,0.02825573179870844,-0.017463326454162598,-0.0016751899383962154
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,1,9,72,80,-0.1093917153775692,0.01762750744819641,0.030193453887477517,0.75,-0.10606945911422372,-0.00332225626334548,0.03941194713115692,0.03711269982159138,-0.02178443968296051,-0.00691924593411386
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,2,0,0,8,-0.18965800385922194,0.15539226308465004,0.019835616694763303,2.25,-0.13850022293627262,-0.051157780922949314,0.17922906205058098,0.020257344003766775,-0.02383679896593094,-0.00042172730900347233
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,2,1,8,16,-0.1725860466249287,0.17479732632637024,0.01804518117569387,2.25,-0.11989801283925772,-0.052688033785670996,0.18278007954359055,0.02471963409334421,-0.007982753217220306,-0.006674452917650342
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,2,2,16,24,-0.16392838768661022,0.18282268941402435,0.01116503425873816,2.625,-0.170837190002203,0.006908802315592766,0.16541700810194016,0.02547515695914626,0.017405681312084198,-0.014310122700408101
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,2,3,24,32,-0.17435756605118513,0.16527749225497246,0.003941679984563962,3.0,-0.17478450015187263,0.0004269341006875038,0.1292802132666111,0.01825385307893157,0.03599727898836136,-0.014312173094367608
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,2,4,32,40,-0.17160256579518318,0.14751575887203217,0.014142383355647326,3.0,-0.1690838821232319,-0.002518683671951294,0.14052680879831314,0.004918642807751894,0.006988950073719025,0.009223740547895432
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,2,5,40,48,-0.14098243415355682,0.162761602550745,0.011028139153495431,0.75,-0.0985110211186111,-0.042471413034945726,0.181673776358366,0.0033321091905236244,-0.018912173807621002,0.0076960299629718065
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,2,6,48,56,-0.05785940479836427,0.15048810467123985,0.012277886387892067,0.75,-0.032826286857016385,-0.025033117941347882,0.1641913540661335,0.008697280660271645,-0.013703249394893646,0.003580605727620423
