drive,condition,replicate,window_index,disturbance_start_index,disturbance_stop_index_exclusive,classification_label,mean_future_blur_sigma,mean_absolute_sigma_change,prediction_error_l2,prediction_error_l2_ema,prediction_error_cosine_previous,prediction_error_temporal_variance
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,3,7,56,64,0,1.6875,1.21875,127.61074924468994,121.81009164182622,-0.3978947848081589,0.15462459437549114
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,3,8,64,72,0,1.5,1.125,138.3600730895996,134.55529118657475,-0.5280818343162537,0.1833004541695118
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,3,9,72,80,0,1.875,1.03125,123.35665225982666,127.47875486179333,-0.284046052955091,0.16315731965005398
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,0,0,0,8,1,0.75,0.09375,80.40298461914062,87.37665722509999,-0.19715200178325176,0.07737662922590971
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,0,1,8,16,1,0.75,0.0,84.667067527771,81.9819718018259,-0.20777995698153973,0.05948248505592346
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,0,2,16,24,1,1.125,0.09375,70.02905368804932,76.34013275678132,-0.167149281129241,0.0570177948102355
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,0,3,24,32,1,1.5,0.0,71.80573844909668,72.19379398663305,-0.13125375378876925,0.048160452395677567
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,0,4,32,40,1,1.5,0.0,72.21616268157959,71.38025337633565,-0.1284042107872665,0.04611825104802847
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,0,5,40,48,1,2.25,0.09375,63.60110521316528,68.26591566648435,-0.06067195162177086,0.045453076250851154
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,0,6,48,56,1,2.25,0.0,66.54626417160034,65.01273282718111,-0.08020536974072456,0.03747241338714957
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,0,7,56,64,1,2.625,0.09375,58.833457469940186,62.324622061001634,-0.07090430887183174,0.03637781133875251
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,0,8,64,72,1,3.0,0.0,48.138123989105225,54.0872417359362,-0.04930579289793968,0.028151208069175482
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,0,9,72,80,1,3.0,0.0,40.05305051803589,42.15786067840064,-0.2121865851804614,0.014490839676000178
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,1,0,0,8,1,1.5,0.1875,83.22245979309082,90.60118850563761,-0.15574549324810505,0.09017647895962
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,1,1,8,16,1,1.5,0.0,79.11794471740723,78.95666950461042,-0.19679566100239754,0.05384202999994159
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,1,2,16,24,1,1.875,0.09375,64.21937656402588,70.16452860626063,-0.1537947948090732,0.04710529139265418
2011_09_26/2011_09_26_drive_0011_sync,persistent_blur,1,3,24,32,1,2.25,0.0,66.00921297073364,66.27724224801361,-0.10395477898418903,0.039981108624488115
